Frequency	Power
63.862366	25.473831
64.062561	13.909044
64.262757	31.790626
64.462952	10.957729
64.663148	24.652735
64.863343	29.606112
65.063539	15.569781
65.263734	41.120846
65.463930	50.552240
65.664125	39.011648
65.864321	10.347584
66.064516	26.689984
66.264712	53.292322
66.464907	41.731707
66.665103	30.267757
66.865298	6.770312
67.065494	13.978206
67.265689	35.827232
67.465885	46.661272
67.666080	19.826035
67.866276	33.830201
68.066471	49.115294
68.266667	13.481017
68.466862	32.335533
68.667058	97.077256
68.867253	26.760753
69.067449	20.364309
69.267644	28.157735
69.467840	28.427770
69.668035	33.395660
69.868231	41.081960
70.068426	36.077911
70.268622	66.326244
70.468817	6.700581
70.669013	43.100080
70.869208	19.035960
71.069404	70.131126
71.269599	40.414726
71.469795	19.268152
71.669990	42.590172
71.870186	39.993015
72.070381	21.340441
72.270577	42.414989
72.470772	20.713886
72.670968	18.434689
72.871163	35.824858
73.071359	29.957053
73.271554	12.494558
73.471750	69.819963
73.671945	12.300613
73.872141	22.253311
74.072336	35.952745
74.272532	23.283159
74.472727	19.324374
74.672923	24.526101
74.873118	30.497396
75.073314	7.472793
75.273509	81.033662
75.473705	53.686058
75.673900	18.460807
75.874096	43.059615
76.074291	13.874141
76.274487	23.313720
76.474682	15.252681
76.674878	31.452024
76.875073	25.949993
77.075269	27.596745
77.275464	41.300651
77.475660	79.382351
77.675855	35.725603
77.876051	30.002863
78.076246	68.795980
78.276442	2.913451
78.476637	32.218940
78.676833	8.638408
78.877028	27.477290
79.077224	15.279852
79.277419	42.897513
79.477615	10.444484
79.677810	5.524850
79.878006	36.105829
80.078201	27.889387
80.278397	38.167178
80.478592	9.235600
80.678788	53.089811
80.878983	37.330169
81.079179	70.523768
81.279374	20.790600
81.479570	37.223737
81.679765	45.026450
81.879961	52.385228
82.080156	38.213679
82.280352	41.895164
82.480547	5.433115
82.680743	19.128447
82.880938	23.887608
83.081134	15.858882
83.281329	15.064188
83.481525	28.535320
83.681720	51.956398
83.881916	42.721010
84.082111	28.793173
84.282307	43.196369
84.482502	32.156312
84.682698	9.969771
84.882893	21.329087
85.083089	17.699574
85.283284	20.269793
85.483480	35.327507
85.683675	5.792495
85.883871	5.853955
86.084066	32.930174
86.284262	47.526381
86.484457	67.681040
86.684653	37.079361
86.884848	28.398551
87.085044	43.621489
87.285239	36.308438
87.485435	40.307269
87.685630	44.503111
87.885826	37.899823
88.086022	57.989682
88.286217	40.864865
88.486413	7.420602
88.686608	68.685394
88.886804	74.498213
89.086999	19.618048
89.287195	34.313263
89.487390	32.130579
89.687586	58.117159
89.887781	62.077824
90.087977	29.016471
90.288172	28.724418
90.488368	40.565447
90.688563	29.223219
90.888759	57.514901
91.088954	27.919333
91.289150	25.918175
91.489345	11.639405
91.689541	36.325530
91.889736	16.598121
92.089932	30.633447
92.290127	13.373408
92.490323	35.175943
92.690518	14.383550
92.890714	18.838528
93.090909	11.894685
93.291105	26.893004
93.491300	52.206293
93.691496	33.030647
93.891691	10.900133
94.091887	9.520608
94.292082	46.284702
94.492278	51.637014
94.692473	23.302685
94.892669	12.804241
95.092864	62.300406
95.293060	50.963560
95.493255	32.353945
95.693451	44.792646
95.893646	19.953677
96.093842	60.521250
96.294037	71.091138
96.494233	17.353813
96.694428	40.830438
96.894624	18.024090
97.094819	45.406019
97.295015	8.028208
97.495210	59.453030
97.695406	24.756734
97.895601	66.164462
98.095797	34.287162
98.295992	17.392553
98.496188	43.228985
98.696383	15.901910
98.896579	41.897012
99.096774	26.513328
99.296970	31.806551
99.497165	49.973415
99.697361	78.304129
99.897556	83.600717
100.097752	31.612253
100.297947	54.033981
100.498143	34.944918
100.698338	37.013450
100.898534	18.995601
101.098729	30.873787
101.298925	88.888468
101.499120	45.066836
101.699316	20.885942
101.899511	32.825307
102.099707	25.565203
102.299902	12.292596
102.500098	19.220455
102.700293	12.292596
102.900489	25.565203
103.100684	32.825307
103.300880	20.885942
103.501075	45.066836
103.701271	88.888468
103.901466	30.873787
104.101662	18.995601
104.301857	37.013450
104.502053	34.944918
104.702248	54.033981
104.902444	31.612253
105.102639	83.600717
105.302835	78.304129
105.503030	49.973415
105.703226	31.806551
105.903421	26.513328
106.103617	41.897012
106.303812	15.901910
106.504008	43.228985
106.704203	17.392553
106.904399	34.287162
107.104594	66.164462
107.304790	24.756734
107.504985	59.453030
107.705181	8.028208
107.905376	45.406019
108.105572	18.024090
108.305767	40.830438
108.505963	17.353813
108.706158	71.091138
108.906354	60.521250
109.106549	19.953677
109.306745	44.792646
109.506940	32.353945
109.707136	50.963560
109.907331	62.300406
110.107527	12.804241
110.307722	23.302685
110.507918	51.637014
110.708113	46.284702
110.908309	9.520608
111.108504	10.900133
111.308700	33.030647
111.508895	52.206293
111.709091	26.893004
111.909286	11.894685
112.109482	18.838528
112.309677	14.383550
112.509873	35.175943
112.710068	13.373408
112.910264	30.633447
113.110459	16.598121
113.310655	36.325530
113.510850	11.639405
113.711046	25.918175
113.911241	27.919333
114.111437	57.514901
114.311632	29.223219
114.511828	40.565447
114.712023	28.724418
114.912219	29.016471
115.112414	62.077824
115.312610	58.117159
115.512805	32.130579
115.713001	34.313263
115.913196	19.618048
116.113392	74.498213
116.313587	68.685394
116.513783	7.420602
116.713978	40.864865
116.914174	57.989682
117.114370	37.899823
117.314565	44.503111
117.514761	40.307269
117.714956	36.308438
117.915152	43.621489
118.115347	28.398551
118.315543	37.079361
118.515738	67.681040
118.715934	47.526381
118.916129	32.930174
119.116325	5.853955
119.316520	5.792495
119.516716	35.327507
119.716911	20.269793
119.917107	17.699574
120.117302	21.329087
120.317498	9.969771
120.517693	32.156312
120.717889	43.196369
120.918084	28.793173
121.118280	42.721010
121.318475	51.956398
121.518671	28.535320
121.718866	15.064188
121.919062	15.858882
122.119257	23.887608
122.319453	19.128447
122.519648	5.433115
122.719844	41.895164
122.920039	38.213679
123.120235	52.385228
123.320430	45.026450
123.520626	37.223737
123.720821	20.790600
123.921017	70.523768
124.121212	37.330169
124.321408	53.089811
124.521603	9.235600
124.721799	38.167178
124.921994	27.889387
125.122190	36.105829
125.322385	5.524850
125.522581	10.444484
125.722776	42.897513
125.922972	15.279852
126.123167	27.477290
126.323363	8.638408
126.523558	32.218940
126.723754	2.913451
126.923949	68.795980
127.124145	30.002863
127.324340	35.725603
127.524536	79.382351
127.724731	41.300651
127.924927	27.596745
128.125122	25.949993
128.325318	31.452024
128.525513	15.252681
128.725709	23.313720
128.925904	13.874141
129.126100	43.059615
129.326295	18.460807
129.526491	53.686058
129.726686	81.033662
129.926882	7.472793
130.127077	30.497396
130.327273	24.526101
130.527468	19.324374
130.727664	23.283159
130.927859	35.952745
131.128055	22.253311
131.328250	12.300613
131.528446	69.819963
131.728641	12.494558
131.928837	29.957053
132.129032	35.824858
132.329228	18.434689
132.529423	20.713886
132.729619	42.414989
132.929814	21.340441
133.130010	39.993015
133.330205	42.590172
133.530401	19.268152
133.730596	40.414726
133.930792	70.131126
134.130987	19.035960
134.331183	43.100080
134.531378	6.700581
134.731574	66.326244
134.931769	36.077911
135.131965	41.081960
135.332160	33.395660
135.532356	28.427770
135.732551	28.157735
135.932747	20.364309
136.132942	26.760753
136.333138	97.077256
136.533333	32.335533
136.733529	13.481017
136.933724	49.115294
137.133920	33.830201
137.334115	19.826035
